Published,Dominio_Origem,Tipo_Conteudo,primarySource,primaryTitle,Texto_Analise,Sentimento,Confianca,Estrelas,Prompt_Ready
2028-01-01 05:00:00+00:00,Good News,Prediction,Polymarket,"[Previsão | Prob: 48.5% | Vol: $2,096,475] Predict.fun FDV above $300M one day after launch?",Predict.fun FDV above $300M one day after launch?,Negativo,0.39875468611717224,2,"Aba Taxonômica da Plataforma: [Good News]. Previsão de mercado (Polymarket): '[Previsão | Prob: 48.5% | Vol: $2,096,475] Predict.fun FDV above $300M one day after launch?'. Data de encerramento da aposta: 2028-01-01T05:00:00+00:00. Para baseamento analítico, o Contexto Macroeconômico/Bolsa Mundial era: Mercado Misto. Indicadores Chaves simultâneos: AAPL (-2.2052) | AMZN (-0.8877) | AVGO (-4.1105) | BAC (-0.8699) | BRK-B (-0.3781)."
2027-12-31 00:00:00+00:00,Good News,Prediction,Polymarket,"[Previsão | Prob: 47.5% | Vol: $327,733] Will SpaceX's market cap be greater than $2.0T at market close on IPO day?",Will SpaceX's market cap be greater than $2.0T at market close on IPO day?,Negativo,0.4066566228866577,1,"Aba Taxonômica da Plataforma: [Good News]. Previsão de mercado (Polymarket): '[Previsão | Prob: 47.5% | Vol: $327,733] Will SpaceX's market cap be greater than $2.0T at market close on IPO day?'. Data de encerramento da aposta: 2027-12-31T00:00:00+00:00. Para baseamento analítico, o Contexto Macroeconômico/Bolsa Mundial era: Mercado Misto. Indicadores Chaves simultâneos: AAPL (-2.2052) | AMZN (-0.8877) | AVGO (-4.1105) | BAC (-0.8699) | BRK-B (-0.3781)."
2027-12-31 00:00:00+00:00,Good News,Prediction,Polymarket,"[Previsão | Prob: 45.0% | Vol: $1,240,933] OpenAI IPO closing market cap above $1T?",OpenAI IPO closing market cap above $1T?,Negativo,0.5553367733955383,1,"Aba Taxonômica da Plataforma: [Good News]. Previsão de mercado (Polymarket): '[Previsão | Prob: 45.0% | Vol: $1,240,933] OpenAI IPO closing market cap above $1T?'. Data de encerramento da aposta: 2027-12-31T00:00:00+00:00. Para baseamento analítico, o Contexto Macroeconômico/Bolsa Mundial era: Mercado Misto. Indicadores Chaves simultâneos: AAPL (-2.2052) | AMZN (-0.8877) | AVGO (-4.1105) | BAC (-0.8699) | BRK-B (-0.3781)."
2027-01-01 05:00:00+00:00,Good News,Prediction,Polymarket,"[Previsão | Prob: 40.0% | Vol: $4,662,168] EdgeX FDV above $1B one day after launch?",EdgeX FDV above $1B one day after launch?,Negativo,0.6270511746406555,1,"Aba Taxonômica da Plataforma: [Good News]. Previsão de mercado (Polymarket): '[Previsão | Prob: 40.0% | Vol: $4,662,168] EdgeX FDV above $1B one day after launch?'. Data de encerramento da aposta: 2027-01-01T05:00:00+00:00. Para baseamento analítico, o Contexto Macroeconômico/Bolsa Mundial era: Mercado Misto. Indicadores Chaves simultâneos: AAPL (-2.2052) | AMZN (-0.8877) | AVGO (-4.1105) | BAC (-0.8699) | BRK-B (-0.3781)."
2026-12-31 00:00:00+00:00,Good News,Prediction,Polymarket,"[Previsão | Prob: 52.0% | Vol: $24,141] ECB rate hike in 2026?",ECB rate hike in 2026?,Negativo,0.4359928071498871,1,"Aba Taxonômica da Plataforma: [Good News]. Previsão de mercado (Polymarket): '[Previsão | Prob: 52.0% | Vol: $24,141] ECB rate hike in 2026?'. Data de encerramento da aposta: 2026-12-31T00:00:00+00:00. Para baseamento analítico, o Contexto Macroeconômico/Bolsa Mundial era: Mercado Misto. Indicadores Chaves simultâneos: AAPL (-2.2052) | AMZN (-0.8877) | AVGO (-4.1105) | BAC (-0.8699) | BRK-B (-0.3781)."
2026-12-31 00:00:00+00:00,Good News,Prediction,Polymarket,"[Previsão | Prob: 37.5% | Vol: $11,651,509] Russia x Ukraine ceasefire by end of 2026?",Russia x Ukraine ceasefire by end of 2026?,Negativo,0.6480088829994202,1,"Aba Taxonômica da Plataforma: [Good News]. Previsão de mercado (Polymarket): '[Previsão | Prob: 37.5% | Vol: $11,651,509] Russia x Ukraine ceasefire by end of 2026?'. Data de encerramento da aposta: 2026-12-31T00:00:00+00:00. Para baseamento analítico, o Contexto Macroeconômico/Bolsa Mundial era: Mercado Misto. Indicadores Chaves simultâneos: AAPL (-2.2052) | AMZN (-0.8877) | AVGO (-4.1105) | BAC (-0.8699) | BRK-B (-0.3781)."
2026-12-31 00:00:00+00:00,Good News,Prediction,Polymarket,"[Previsão | Prob: 39.5% | Vol: $9,834,552] Will the Iranian regime fall before 2027?",Will the Iranian regime fall before 2027?,Negativo,0.3841567933559418,1,"Aba Taxonômica da Plataforma: [Good News]. Previsão de mercado (Polymarket): '[Previsão | Prob: 39.5% | Vol: $9,834,552] Will the Iranian regime fall before 2027?'. Data de encerramento da aposta: 2026-12-31T00:00:00+00:00. Para baseamento analítico, o Contexto Macroeconômico/Bolsa Mundial era: Mercado Misto. Indicadores Chaves simultâneos: AAPL (-2.2052) | AMZN (-0.8877) | AVGO (-4.1105) | BAC (-0.8699) | BRK-B (-0.3781)."
2026-11-03 00:00:00+00:00,Good News,Prediction,Polymarket,"[Previsão | Prob: 49.0% | Vol: $3,576,233] 2026 Balance of Power: D Senate, D House","2026 Balance of Power: D Senate, D House",Positivo,0.44444429874420166,5,"Aba Taxonômica da Plataforma: [Good News]. Previsão de mercado (Polymarket): '[Previsão | Prob: 49.0% | Vol: $3,576,233] 2026 Balance of Power: D Senate, D House'. Data de encerramento da aposta: 2026-11-03T00:00:00+00:00. Para baseamento analítico, o Contexto Macroeconômico/Bolsa Mundial era: Mercado Misto. Indicadores Chaves simultâneos: AAPL (-2.2052) | AMZN (-0.8877) | AVGO (-4.1105) | BAC (-0.8699) | BRK-B (-0.3781)."
2026-10-04 00:00:00+00:00,Good News,Prediction,Polymarket,"[Previsão | Prob: 45.5% | Vol: $26,093,923] Will Luiz Inácio Lula da Silva win the 2026 Brazilian presidential election?",Will Luiz Inácio Lula da Silva win the 2026 Brazilian presidential election?,Negativo,0.2917831242084503,1,"Aba Taxonômica da Plataforma: [Good News]. Previsão de mercado (Polymarket): '[Previsão | Prob: 45.5% | Vol: $26,093,923] Will Luiz Inácio Lula da Silva win the 2026 Brazilian presidential election?'. Data de encerramento da aposta: 2026-10-04T00:00:00+00:00. Para baseamento analítico, o Contexto Macroeconômico/Bolsa Mundial era: Mercado Misto. Indicadores Chaves simultâneos: AAPL (-2.2052) | AMZN (-0.8877) | AVGO (-4.1105) | BAC (-0.8699) | BRK-B (-0.3781)."
2026-07-31 12:00:00+00:00,Good News,Prediction,Polymarket,"[Previsão | Prob: 48.5% | Vol: $18,996,276] Will Jesus Christ return before GTA VI?",Will Jesus Christ return before GTA VI?,Negativo,0.3942764401435852,1,"Aba Taxonômica da Plataforma: [Good News]. Previsão de mercado (Polymarket): '[Previsão | Prob: 48.5% | Vol: $18,996,276] Will Jesus Christ return before GTA VI?'. Data de encerramento da aposta: 2026-07-31T12:00:00+00:00. Para baseamento analítico, o Contexto Macroeconômico/Bolsa Mundial era: Mercado Misto. Indicadores Chaves simultâneos: AAPL (-2.2052) | AMZN (-0.8877) | AVGO (-4.1105) | BAC (-0.8699) | BRK-B (-0.3781)."
